Episode 105/500 | Reward: -93.0 | Epsilon: 0.345
Episode 106/500 | Reward: -340.0 | Epsilon: 0.341
Episode 107/500 | Reward: -325.0 | Epsilon: 0.338
Episode 108/500 | Reward: -2.0 | Epsilon: 0.334
Episode 109/500 | Reward: -345.0 | Epsilon: 0.331
Episode 110/500 | Reward: -340.0 | Epsilon: 0.328
Episode 111/500 | Reward: -73.0 | Epsilon: 0.324
Episode 112/500 | Reward: -325.0 | Epsilon: 0.321
Episode 113/500 | Reward: 95.0 | Epsilon: 0.318
Episode 114/500 | Reward: 95.0 | Epsilon: 0.315
Episode 115/500 | Reward: -38.0 | Epsilon: 0.312
Episode 116/500 | Reward: -325.0 | Epsilon: 0.309
Episode 117/500 | Reward: 79.0 | Epsilon: 0.305
Episode 118/500 | Reward: -99.0 | Epsilon: 0.302
Episode 119/500 | Reward: 27.0 | Epsilon: 0.299
Episode 120/500 | Reward: -52.0 | Epsilon: 0.296
Episode 121/500 | Reward: -145.0 | Epsilon: 0.293
Episode 122/500 | Reward: 79.0 | Epsilon: 0.290
Episode 123/500 | Reward: -340.0 | Epsilon: 0.288
Episode 124/500 | Reward: -320.0 | Epsilon: 0.285
Episode 125/500 | Reward: -121.0 | Epsilon: 0.282
💾 Checkpoint sauvegardé : models/doom_dqn_ep125.pth
Episode 126/500 | Reward: 87.0 | Epsilon: 0.279
Episode 127/500 | Reward: -315.0 | Epsilon: 0.276
Episode 128/500 | Reward: -63.0 | Epsilon: 0.273
Episode 129/500 | Reward: -330.0 | Epsilon: 0.271
Episode 130/500 | Reward: -340.0 | Epsilon: 0.268
Episode 131/500 | Reward: -315.0 | Epsilon: 0.265
Episode 132/500 | Reward: -335.0 | Epsilon: 0.263
Episode 133/500 | Reward: 87.0 | Epsilon: 0.260
Episode 134/500 | Reward: -127.0 | Epsilon: 0.257
Episode 135/500 | Reward: -114.0 | Epsilon: 0.255
Episode 136/500 | Reward: -192.0 | Epsilon: 0.252
Episode 137/500 | Reward: -320.0 | Epsilon: 0.250
Episode 138/500 | Reward: -335.0 | Epsilon: 0.247
Episode 139/500 | Reward: -325.0 | Epsilon: 0.245
Episode 140/500 | Reward: -118.0 | Epsilon: 0.242
Episode 141/500 | Reward: -159.0 | Epsilon: 0.240
Episode 142/500 | Reward: 87.0 | Epsilon: 0.238
Episode 143/500 | Reward: 79.0 | Epsilon: 0.235
Episode 144/500 | Reward: 2.0 | Epsilon: 0.233
Episode 145/500 | Reward: -340.0 | Epsilon: 0.231
Episode 146/500 | Reward: 46.0 | Epsilon: 0.228
Episode 147/500 | Reward: -14.0 | Epsilon: 0.226
Episode 148/500 | Reward: -35.0 | Epsilon: 0.224
Episode 149/500 | Reward: -310.0 | Epsilon: 0.221
Episode 150/500 | Reward: -30.0 | Epsilon: 0.219
Episode 151/500 | Reward: -330.0 | Epsilon: 0.217
Episode 152/500 | Reward: 31.0 | Epsilon: 0.215
Episode 153/500 | Reward: -325.0 | Epsilon: 0.213
Episode 154/500 | Reward: -20.0 | Epsilon: 0.211
Episode 155/500 | Reward: -38.0 | Epsilon: 0.208
Episode 156/500 | Reward: -94.0 | Epsilon: 0.206
Episode 157/500 | Reward: -325.0 | Epsilon: 0.204
Episode 158/500 | Reward: 59.0 | Epsilon: 0.202
Episode 159/500 | Reward: -78.0 | Epsilon: 0.200
Episode 160/500 | Reward: -320.0 | Epsilon: 0.198
Episode 161/500 | Reward: -198.0 | Epsilon: 0.196
