Episode 0/1000 | Reward: -184.0 | Epsilon: 0.990
Episode 1/1000 | Reward: 71.0 | Epsilon: 0.980
Episode 2/1000 | Reward: 83.0 | Epsilon: 0.970
Episode 3/1000 | Reward: -90.0 | Epsilon: 0.961
Episode 4/1000 | Reward: 95.0 | Epsilon: 0.951
Episode 5/1000 | Reward: -38.0 | Epsilon: 0.941
Episode 6/1000 | Reward: 95.0 | Epsilon: 0.932
Episode 7/1000 | Reward: -380.0 | Epsilon: 0.923
Episode 8/1000 | Reward: 95.0 | Epsilon: 0.914
Episode 9/1000 | Reward: 95.0 | Epsilon: 0.904
Episode 10/1000 | Reward: -370.0 | Epsilon: 0.895
Episode 11/1000 | Reward: 95.0 | Epsilon: 0.886
Episode 12/1000 | Reward: -142.0 | Epsilon: 0.878
Episode 13/1000 | Reward: -360.0 | Epsilon: 0.869
Episode 14/1000 | Reward: 79.0 | Epsilon: 0.860
Episode 15/1000 | Reward: 87.0 | Epsilon: 0.851
Episode 16/1000 | Reward: -375.0 | Epsilon: 0.843
Episode 17/1000 | Reward: 71.0 | Epsilon: 0.835
Episode 18/1000 | Reward: -360.0 | Epsilon: 0.826
Episode 19/1000 | Reward: -370.0 | Epsilon: 0.818
Episode 20/1000 | Reward: -360.0 | Epsilon: 0.810
Episode 21/1000 | Reward: 21.0 | Epsilon: 0.802
Episode 22/1000 | Reward: 67.0 | Epsilon: 0.794
Episode 23/1000 | Reward: -69.0 | Epsilon: 0.786
Episode 24/1000 | Reward: 75.0 | Epsilon: 0.778
Episode 25/1000 | Reward: 95.0 | Epsilon: 0.770
Episode 26/1000 | Reward: 71.0 | Epsilon: 0.762
Episode 27/1000 | Reward: -365.0 | Epsilon: 0.755
Episode 28/1000 | Reward: -370.0 | Epsilon: 0.747
Episode 29/1000 | Reward: -340.0 | Epsilon: 0.740
Episode 30/1000 | Reward: 95.0 | Epsilon: 0.732
Episode 31/1000 | Reward: 91.0 | Epsilon: 0.725
Episode 32/1000 | Reward: -360.0 | Epsilon: 0.718
Episode 33/1000 | Reward: -340.0 | Epsilon: 0.711
Episode 34/1000 | Reward: -350.0 | Epsilon: 0.703
Episode 35/1000 | Reward: 79.0 | Epsilon: 0.696
Episode 36/1000 | Reward: 95.0 | Epsilon: 0.689
Episode 37/1000 | Reward: 26.0 | Epsilon: 0.683
Episode 38/1000 | Reward: 41.0 | Epsilon: 0.676
Episode 39/1000 | Reward: -335.0 | Epsilon: 0.669
Episode 40/1000 | Reward: -350.0 | Epsilon: 0.662
Episode 41/1000 | Reward: 91.0 | Epsilon: 0.656
Episode 42/1000 | Reward: -340.0 | Epsilon: 0.649
