Episode 102/1000 | Reward: -33.3 | Epsilon: 0.355
Episode 103/1000 | Reward: -4.5 | Epsilon: 0.352
Episode 104/1000 | Reward: -43.3 | Epsilon: 0.348
Episode 105/1000 | Reward: -41.4 | Epsilon: 0.345
Episode 106/1000 | Reward: -9.7 | Epsilon: 0.341
Episode 107/1000 | Reward: -25.8 | Epsilon: 0.338
Episode 108/1000 | Reward: -47.3 | Epsilon: 0.334
Episode 109/1000 | Reward: -9.5 | Epsilon: 0.331
Episode 110/1000 | Reward: -4.4 | Epsilon: 0.328
Episode 111/1000 | Reward: -4.5 | Epsilon: 0.324
Episode 112/1000 | Reward: -4.4 | Epsilon: 0.321
Episode 113/1000 | Reward: -4.1 | Epsilon: 0.318
Episode 114/1000 | Reward: -23.2 | Epsilon: 0.315
Episode 115/1000 | Reward: -4.1 | Epsilon: 0.312
Episode 116/1000 | Reward: -43.3 | Epsilon: 0.309
Episode 117/1000 | Reward: -4.5 | Epsilon: 0.305
Episode 118/1000 | Reward: -5.4 | Epsilon: 0.302
Episode 119/1000 | Reward: -4.1 | Epsilon: 0.299
Episode 120/1000 | Reward: -28.2 | Epsilon: 0.296
Episode 121/1000 | Reward: -4.2 | Epsilon: 0.293
Episode 122/1000 | Reward: -25.5 | Epsilon: 0.290
Episode 123/1000 | Reward: -4.3 | Epsilon: 0.288
Episode 124/1000 | Reward: -4.1 | Epsilon: 0.285
Episode 125/1000 | Reward: -30.9 | Epsilon: 0.282
Episode 126/1000 | Reward: -9.4 | Epsilon: 0.279
Episode 127/1000 | Reward: -4.1 | Epsilon: 0.276
Episode 128/1000 | Reward: -53.4 | Epsilon: 0.273
Episode 129/1000 | Reward: -9.8 | Epsilon: 0.271
Episode 130/1000 | Reward: -58.4 | Epsilon: 0.268
Episode 131/1000 | Reward: -9.2 | Epsilon: 0.265
Episode 132/1000 | Reward: -4.5 | Epsilon: 0.263
Episode 133/1000 | Reward: -4.0 | Epsilon: 0.260
Episode 134/1000 | Reward: -4.5 | Epsilon: 0.257
Episode 135/1000 | Reward: -11.5 | Epsilon: 0.255
Episode 136/1000 | Reward: -10.3 | Epsilon: 0.252
Episode 137/1000 | Reward: -4.2 | Epsilon: 0.250
Episode 138/1000 | Reward: -5.2 | Epsilon: 0.247
Episode 139/1000 | Reward: -15.3 | Epsilon: 0.245
Episode 140/1000 | Reward: -4.5 | Epsilon: 0.242
Episode 141/1000 | Reward: -20.3 | Epsilon: 0.240
Episode 142/1000 | Reward: -26.9 | Epsilon: 0.238
Episode 143/1000 | Reward: -13.1 | Epsilon: 0.235
Episode 144/1000 | Reward: -4.0 | Epsilon: 0.233
