Episode 0/500 | Reward: 95.0 | Epsilon: 1.000
Episode 1/500 | Reward: 95.0 | Epsilon: 0.999
Episode 2/500 | Reward: -375.0 | Epsilon: 0.999
Episode 3/500 | Reward: 95.0 | Epsilon: 0.998
Episode 4/500 | Reward: -28.0 | Epsilon: 0.998
Episode 5/500 | Reward: 95.0 | Epsilon: 0.997
Episode 6/500 | Reward: 87.0 | Epsilon: 0.997
Episode 7/500 | Reward: 95.0 | Epsilon: 0.996
Episode 8/500 | Reward: 95.0 | Epsilon: 0.996
Episode 9/500 | Reward: -360.0 | Epsilon: 0.995
Episode 10/500 | Reward: 87.0 | Epsilon: 0.995
Episode 11/500 | Reward: 95.0 | Epsilon: 0.994
Episode 12/500 | Reward: 56.0 | Epsilon: 0.994
Episode 13/500 | Reward: 83.0 | Epsilon: 0.993
Episode 14/500 | Reward: 11.0 | Epsilon: 0.993
Episode 15/500 | Reward: -15.0 | Epsilon: 0.992
Episode 16/500 | Reward: 25.0 | Epsilon: 0.992
Episode 17/500 | Reward: -370.0 | Epsilon: 0.991
Episode 18/500 | Reward: 87.0 | Epsilon: 0.991
Episode 19/500 | Reward: 72.0 | Epsilon: 0.990
Episode 20/500 | Reward: -365.0 | Epsilon: 0.990
Episode 21/500 | Reward: 91.0 | Epsilon: 0.989
Episode 22/500 | Reward: 50.0 | Epsilon: 0.989
Episode 23/500 | Reward: -375.0 | Epsilon: 0.988
Episode 24/500 | Reward: -340.0 | Epsilon: 0.988
Episode 25/500 | Reward: 91.0 | Epsilon: 0.987
Episode 26/500 | Reward: -360.0 | Epsilon: 0.987
Episode 27/500 | Reward: 59.0 | Epsilon: 0.986
Episode 28/500 | Reward: -380.0 | Epsilon: 0.986
Episode 29/500 | Reward: -365.0 | Epsilon: 0.985
Episode 30/500 | Reward: 95.0 | Epsilon: 0.985
Episode 31/500 | Reward: 95.0 | Epsilon: 0.984
Episode 32/500 | Reward: 95.0 | Epsilon: 0.984
Episode 33/500 | Reward: -62.0 | Epsilon: 0.983
Episode 34/500 | Reward: 91.0 | Epsilon: 0.983
Episode 35/500 | Reward: -355.0 | Epsilon: 0.982
Episode 36/500 | Reward: 95.0 | Epsilon: 0.982
Episode 37/500 | Reward: 87.0 | Epsilon: 0.981
Episode 38/500 | Reward: 95.0 | Epsilon: 0.981
Episode 39/500 | Reward: -257.0 | Epsilon: 0.980
Episode 40/500 | Reward: 75.0 | Epsilon: 0.980
Episode 41/500 | Reward: -375.0 | Epsilon: 0.979
Episode 42/500 | Reward: 64.0 | Epsilon: 0.979
Episode 43/500 | Reward: 54.0 | Epsilon: 0.978
Episode 44/500 | Reward: -370.0 | Epsilon: 0.978
Episode 45/500 | Reward: 95.0 | Epsilon: 0.977
Episode 46/500 | Reward: 52.0 | Epsilon: 0.977
Episode 47/500 | Reward: 75.0 | Epsilon: 0.976
Episode 48/500 | Reward: 67.0 | Epsilon: 0.976
Episode 49/500 | Reward: 4.0 | Epsilon: 0.975
Episode 50/500 | Reward: 95.0 | Epsilon: 0.975
💾 Modèle sauvegardé : models/doom_dqn_50.pth
Episode 51/500 | Reward: 95.0 | Epsilon: 0.974
Episode 52/500 | Reward: -380.0 | Epsilon: 0.974
Episode 53/500 | Reward: 31.0 | Epsilon: 0.973
Episode 54/500 | Reward: -360.0 | Epsilon: 0.973
Episode 55/500 | Reward: -61.0 | Epsilon: 0.972
Episode 56/500 | Reward: 29.0 | Epsilon: 0.972
Episode 57/500 | Reward: 13.0 | Epsilon: 0.971
Episode 58/500 | Reward: -375.0 | Epsilon: 0.971
Episode 59/500 | Reward: -355.0 | Epsilon: 0.970
Episode 60/500 | Reward: -227.0 | Epsilon: 0.970
Episode 61/500 | Reward: 10.0 | Epsilon: 0.969
Episode 62/500 | Reward: 95.0 | Epsilon: 0.969
Episode 63/500 | Reward: 95.0 | Epsilon: 0.968
Episode 64/500 | Reward: 67.0 | Epsilon: 0.968
Episode 65/500 | Reward: 87.0 | Epsilon: 0.968
Episode 66/500 | Reward: -7.0 | Epsilon: 0.967
Episode 67/500 | Reward: -125.0 | Epsilon: 0.967
Episode 68/500 | Reward: 46.0 | Epsilon: 0.966
Episode 69/500 | Reward: -365.0 | Epsilon: 0.966
Episode 70/500 | Reward: -370.0 | Epsilon: 0.965
Episode 71/500 | Reward: -370.0 | Epsilon: 0.965
Episode 72/500 | Reward: 87.0 | Epsilon: 0.964
Episode 73/500 | Reward: 87.0 | Epsilon: 0.964
Episode 74/500 | Reward: -380.0 | Epsilon: 0.963
Episode 75/500 | Reward: -87.0 | Epsilon: 0.963
Episode 76/500 | Reward: 37.0 | Epsilon: 0.962
Episode 77/500 | Reward: -58.0 | Epsilon: 0.962
Episode 78/500 | Reward: -144.0 | Epsilon: 0.961
Episode 79/500 | Reward: 35.0 | Epsilon: 0.961
Episode 80/500 | Reward: 95.0 | Epsilon: 0.960
Episode 81/500 | Reward: -370.0 | Epsilon: 0.960
Episode 82/500 | Reward: -370.0 | Epsilon: 0.959
Episode 83/500 | Reward: 87.0 | Epsilon: 0.959
Episode 84/500 | Reward: 87.0 | Epsilon: 0.958
Episode 85/500 | Reward: 75.0 | Epsilon: 0.958
Episode 86/500 | Reward: 95.0 | Epsilon: 0.957
Episode 87/500 | Reward: 95.0 | Epsilon: 0.957
Episode 88/500 | Reward: -365.0 | Epsilon: 0.956
Episode 89/500 | Reward: 79.0 | Epsilon: 0.956
Episode 90/500 | Reward: 91.0 | Epsilon: 0.956
Episode 91/500 | Reward: -21.0 | Epsilon: 0.955
Episode 92/500 | Reward: 83.0 | Epsilon: 0.955
Episode 93/500 | Reward: 95.0 | Epsilon: 0.954
Episode 94/500 | Reward: -360.0 | Epsilon: 0.954
Episode 95/500 | Reward: -365.0 | Epsilon: 0.953
Episode 96/500 | Reward: -365.0 | Epsilon: 0.953
Episode 97/500 | Reward: -355.0 | Epsilon: 0.952
Episode 98/500 | Reward: 95.0 | Epsilon: 0.952
Episode 99/500 | Reward: 95.0 | Epsilon: 0.951
Episode 100/500 | Reward: 95.0 | Epsilon: 0.951
💾 Modèle sauvegardé : models/doom_dqn_100.pth
Episode 101/500 | Reward: -365.0 | Epsilon: 0.950
Episode 102/500 | Reward: 91.0 | Epsilon: 0.950
Episode 103/500 | Reward: -375.0 | Epsilon: 0.949
Episode 104/500 | Reward: 95.0 | Epsilon: 0.949
Episode 105/500 | Reward: 95.0 | Epsilon: 0.948
Episode 106/500 | Reward: -375.0 | Epsilon: 0.948
Episode 107/500 | Reward: 54.0 | Epsilon: 0.947
Episode 108/500 | Reward: -375.0 | Epsilon: 0.947
Episode 109/500 | Reward: -256.0 | Epsilon: 0.946
Episode 110/500 | Reward: -380.0 | Epsilon: 0.946
Episode 111/500 | Reward: -370.0 | Epsilon: 0.946
Episode 112/500 | Reward: 95.0 | Epsilon: 0.945
Episode 113/500 | Reward: -355.0 | Epsilon: 0.945
Episode 114/500 | Reward: -360.0 | Epsilon: 0.944
Episode 115/500 | Reward: 83.0 | Epsilon: 0.944
Episode 116/500 | Reward: 91.0 | Epsilon: 0.943
Episode 117/500 | Reward: 95.0 | Epsilon: 0.943
Episode 118/500 | Reward: -126.0 | Epsilon: 0.942
Episode 119/500 | Reward: -88.0 | Epsilon: 0.942
Episode 120/500 | Reward: 95.0 | Epsilon: 0.941
Episode 121/500 | Reward: -33.0 | Epsilon: 0.941
Episode 122/500 | Reward: -355.0 | Epsilon: 0.940
Episode 123/500 | Reward: -385.0 | Epsilon: 0.940
Episode 124/500 | Reward: 0.0 | Epsilon: 0.939
Episode 125/500 | Reward: -258.0 | Epsilon: 0.939
Episode 126/500 | Reward: -360.0 | Epsilon: 0.938
Episode 127/500 | Reward: -365.0 | Epsilon: 0.938
Episode 128/500 | Reward: -17.0 | Epsilon: 0.938
Episode 129/500 | Reward: 6.0 | Epsilon: 0.937
Episode 130/500 | Reward: -350.0 | Epsilon: 0.937
Episode 131/500 | Reward: -365.0 | Epsilon: 0.936
Episode 132/500 | Reward: -365.0 | Epsilon: 0.936
